Taille_mat;Taile_blocs;Run_ID;Time
4096;16;1;15.7593
4096;32;1;15.3109
4096;48;1;15.0764
4096;64;1;14.1648
4096;80;1;16.0611
4096;96;1;14.4963
4096;112;1;13.7777
4096;128;1;12.3138
4096;144;1;13.8178
4096;160;1;15.1004
4096;176;1;12.7768
4096;192;1;13.6423
4096;208;1;14.0786
4096;224;1;15.1605
4096;240;1;16.6626
4096;256;1;11.2887
4096;272;1;12.721
4096;288;1;13.2237
4096;304;1;13.767
4096;320;1;16.8864
4096;336;1;15.6968
4096;352;1;16.7296
4096;368;1;19.4643
4096;384;1;20.2366
4096;400;1;22.2678
4096;416;1;26.082
4096;432;1;27.8194
4096;448;1;30.8497
4096;464;1;27.833
4096;480;1;33.6321
4096;496;1;34.4514
4096;512;1;16.5813
