Taille_mat;Taille_blocs;Run_ID;Time
5000;16;1;27.3521
5000;16;2;25.358
5000;16;3;25.3688
5000;16;4;26.2556
5000;16;5;25.5978
5000;16;6;25.9296
5000;16;7;25.024
5000;16;8;25.3844
5000;16;9;25.9087
5000;16;10;25.6165
5000;32;1;23.0479
5000;32;2;23.0188
5000;32;3;22.8318
5000;32;4;22.9051
5000;32;5;23.0191
5000;32;6;23.0923
5000;32;7;23.0886
5000;32;8;23.1412
5000;32;9;23.0585
5000;32;10;23.0034
5000;48;1;23.5443
5000;48;2;22.6459
5000;48;3;22.5573
5000;48;4;22.7748
5000;48;5;23.1631
5000;48;6;22.6587
5000;48;7;23.165
5000;48;8;22.566
5000;48;9;23.2925
5000;48;10;22.6521
5000;64;1;21.7204
5000;64;2;21.7369
5000;64;3;21.8992
5000;64;4;21.8418
5000;64;5;21.8778
5000;64;6;22.1441
5000;64;7;21.8604
5000;64;8;21.7748
5000;64;9;21.9867
5000;64;10;21.7209
5000;80;1;21.9652
5000;80;2;21.942
5000;80;3;21.9266
5000;80;4;21.964
5000;80;5;21.9252
5000;80;6;21.9514
5000;80;7;21.9438
5000;80;8;21.9842
5000;80;9;21.9372
5000;80;10;22.0593
5000;96;1;22.6426
5000;96;2;22.6681
5000;96;3;22.6292
5000;96;4;22.6346
5000;96;5;22.6332
5000;96;6;22.6325
5000;96;7;22.6548
5000;96;8;22.7072
5000;96;9;22.6225
5000;96;10;22.8256
5000;112;1;21.8838
5000;112;2;21.8783
5000;112;3;21.8708
5000;112;4;21.9038
5000;112;5;21.9765
5000;112;6;21.8596
5000;112;7;21.8976
5000;112;8;21.8566
5000;112;9;21.897
5000;112;10;21.8644
5000;128;1;21.0167
5000;128;2;21.1257
5000;128;3;20.9221
5000;128;4;20.9429
5000;128;5;21.034
5000;128;6;20.9373
5000;128;7;21.1132
5000;128;8;21.085
5000;128;9;20.9258
5000;128;10;21.1303
5000;144;1;23.0108
5000;144;2;22.8845
5000;144;3;23.0149
5000;144;4;22.9484
5000;144;5;22.9322
5000;144;6;22.9169
5000;144;7;22.9146
5000;144;8;23.0717
5000;144;9;22.9217
5000;144;10;23.1156
5000;160;1;22.2591
5000;160;2;22.26
5000;160;3;22.1045
5000;160;4;22.2082
5000;160;5;22.1018
5000;160;6;22.199
5000;160;7;22.0935
