Taille_mat;Run_ID;Time
60;1;0.009283
60;2;0.008526
60;3;0.010118
60;4;0.009251
60;5;0.009284
60;6;0.00925
60;7;0.007504
60;8;0.00615
60;9;0.00615
60;10;0.006171
60;11;0.00617
60;12;0.009233
60;13;0.008773
60;14;0.008608
60;15;0.006978
60;16;0.006152
60;17;0.006154
60;18;0.006172
60;19;0.006172
60;20;0.006171
60;21;0.006172
60;22;0.006154
60;23;0.006163
60;24;0.009227
60;25;0.008525
60;26;0.006509
60;27;0.006378
60;28;0.00616
60;29;0.006173
60;30;0.006172
62;1;0.006795
62;2;0.008462
62;3;0.00829
62;4;0.008054
62;5;0.010182
62;6;0.009224
62;7;0.007188
62;8;0.006901
62;9;0.006804
62;10;0.006792
62;11;0.006807
62;12;0.009944
62;13;0.010217
62;14;0.007643
62;15;0.007061
62;16;0.006801
62;17;0.006866
62;18;0.006803
62;19;0.006853
62;20;0.009854
62;21;0.010098
62;22;0.010195
62;23;0.010195
62;24;0.010192
62;25;0.006782
62;26;0.009212
62;27;0.00843
62;28;0.008365
62;29;0.006791
62;30;0.010104
64;1;0.007716
64;2;0.010177
64;3;0.011299
64;4;0.007547
64;5;0.007553
64;6;0.007554
64;7;0.007544
64;8;0.007553
64;9;0.007549
64;10;0.007549
64;11;0.011412
64;12;0.010449
64;13;0.010689
64;14;0.011307
64;15;0.011348
64;16;0.007539
64;17;0.007582
64;18;0.007573
64;19;0.007557
64;20;0.00754
64;21;0.007524
64;22;0.007537
64;23;0.007563
64;24;0.00754
64;25;0.007554
64;26;0.010162
64;27;0.009062
64;28;0.01085
64;29;0.010824
64;30;0.007981
66;1;0.011997
66;2;0.011625
66;3;0.0092
66;4;0.011777
66;5;0.011424
66;6;0.01143
66;7;0.010511
66;8;0.011012
66;9;0.008789
66;10;0.008255
66;11;0.008253
66;12;0.008243
66;13;0.008237
66;14;0.008255
66;15;0.008254
66;16;0.008248
66;17;0.011583
66;18;0.011357
66;19;0.012275
66;20;0.010487
66;21;0.008986
66;22;0.008246
66;23;0.008245
66;24;0.008257
66;25;0.00825
66;26;0.008253
66;27;0.012372
66;28;0.008237
66;29;0.01154
66;30;0.011459
68;1;0.012473
68;2;0.012211
68;3;0.009767
68;4;0.01235
68;5;0.010485
68;6;0.009013
68;7;0.012344
68;8;0.012426
68;9;0.009893
68;10;0.013255
68;11;0.009011
68;12;0.009002
68;13;0.010805
68;14;0.012138
68;15;0.009004
68;16;0.01235
68;17;0.009004
68;18;0.010734
68;19;0.009017
68;20;0.012172
68;21;0.009886
68;22;0.009016
68;23;0.011502
68;24;0.012109
68;25;0.012289
68;26;0.01268
68;27;0.013314
68;28;0.011897
68;29;0.010567
68;30;0.01188
70;1;0.010044
70;2;0.013147
70;3;0.010537
70;4;0.009835
70;5;0.013368
70;6;0.010341
70;7;0.009828
70;8;0.010931
70;9;0.013226
70;10;0.009834
70;11;0.01358
70;12;0.012317
70;13;0.010761
70;14;0.011177
70;15;0.012276
70;16;0.009832
70;17;0.012997
70;18;0.00983
70;19;0.011489
70;20;0.013164
70;21;0.014266
70;22;0.013365
70;23;0.012902
70;24;0.013197
70;25;0.010134
70;26;0.009821
70;27;0.013436
70;28;0.00982
70;29;0.013378
70;30;0.01348
72;1;0.012964
72;2;0.013462
72;3;0.014878
72;4;0.011126
72;5;0.01383
72;6;0.011956
72;7;0.010693
72;8;0.015494
72;9;0.0107
72;10;0.010703
72;11;0.01384
72;12;0.010693
72;13;0.014056
72;14;0.011145
72;15;0.01427
72;16;0.013579
72;17;0.013024
72;18;0.012172
72;19;0.015192
72;20;0.010692
72;21;0.013598
72;22;0.01107
72;23;0.012949
72;24;0.014111
72;25;0.014972
72;26;0.013772
72;27;0.010992
72;28;0.012236
72;29;0.015637
72;30;0.014439
74;1;0.013158
74;2;0.011709
